"DIVIPOLA","City_Municipality","ID_Deparment","Department","Sex","Range","People"
"13836","Turbaco","13","Bolivar","M","71-80","4"
"13836","Turbaco","13","Bolivar","M","61-70","1"
"13836","Turbaco","13","Bolivar","M","81-90","1"
"13838","Turbana","13","Bolivar","M","51-60","1"
"13838","Turbana","13","Bolivar","M","41-50","1"
"13838","Turbana","13","Bolivar","M","31-40","1"
"13873","Villanueva","13","Bolivar","F","71-80","1"
"13873","Villanueva","13","Bolivar","F","61-70","1"
"13873","Villanueva","13","Bolivar","F","81-90","1"
"13873","Villanueva","13","Bolivar","M","71-80","1"
"15001","Tunja","15","Boyaca","F","51-60","1"
"15001","Tunja","15","Boyaca","F","91-99","1"
"15001","Tunja","15","Boyaca","M","51-60","1"
"15001","Tunja","15","Boyaca","M","81-90","1"
"15176","Chiquinquira","15","Boyaca","F","91-99","1"
"15224","Cucaita","15","Boyaca","F","81-90","1"
"15299","Garagoa","15","Boyaca","M","61-70","1"
"15322","Guateque","15","Boyaca","M","51-60","1"
"15516","Paipa","15","Boyaca","F","71-80","1"
"15646","Samaca","15","Boyaca","F","0-1","1"
"15759","Sogamoso","15","Boyaca","F","71-80","1"
"15759","Sogamoso","15","Boyaca","M","71-80","1"
"15790","Tasco","15","Boyaca","M","81-90","1"
"17001","Manizales","17","Caldas","F","71-80","1"
"17001","Manizales","17","Caldas","M","61-70","1"
"17380","La Dorada","17","Caldas","F","91-99","1"
"17380","La Dorada","17","Caldas","M","51-60","1"
"17433","Manzanares","17","Caldas","M","41-50","1"
"17495","Norcasia","17","Caldas","F","81-90","1"
"17873","Villamaria","17","Caldas","M","71-80","1"
"18001","Florencia","18","Caqueta","F","91-99","1"
"18001","Florencia","18","Caqueta","M","71-80","1"
"19001","Popayan","19","Cauca","F","61-70","1"
"19001","Popayan","19","Cauca","F","2-10","1"
"19001","Popayan","19","Cauca","M","71-80","1"
"19001","Popayan","19","Cauca","M","61-70","1"
"19001","Popayan","19","Cauca","M","81-90","2"
"19318","Guapi","19","Cauca","F","71-80","1"
"19318","Guapi","19","Cauca","M","71-80","1"
"19318","Guapi","19","Cauca","M","81-90","1"
"19455","Miranda","19","Cauca","F","61-70","1"
"19455","Miranda","19","Cauca","M","71-80","1"
"19548","Piendamo","19","Cauca","M","81-90","1"
"19573","Puerto Tejada","19","Cauca","F","61-70","1"
"19573","Puerto Tejada","19","Cauca","M","71-80","2"
"19698","Santander de Quilichao","19","Cauca","F","11-20","1"
"19845","Villa rica","19","Cauca","F","71-80","1"
"19845","Villa rica","19","Cauca","M","71-80","1"
"19845","Villa rica","19","Cauca","M","61-70","1"
"20001","Valledupar","20","Cesar","F","71-80","2"
"20001","Valledupar","20","Cesar","F","61-70","2"
"20001","Valledupar","20","Cesar","F","31-40","1"
"20001","Valledupar","20","Cesar","F","11-20","1"
"20001","Valledupar","20","Cesar","M","51-60","1"
"20001","Valledupar","20","Cesar","M","71-80","3"
"20001","Valledupar","20","Cesar","M","61-70","3"
