"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"PALERMO","HUILA","5.73280146532","-75.6953709211","0","3","0","3","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"PALMIRA","VALLE DEL CAUCA","8.54978573123","-75.4510664684","28","47","4","15","26","0","2","2","4.2553191489362","55.31914893617","","4.2553191489362","8.5106382978723","31.914893617021","59.574468085106","2020-04-22 16:17:00"
"PASTO","NARIÑO","1.21212436525","-77.2785763476","8","15","2","5","6","2","0","2","13.333333333333","40","13.333333333333","","13.333333333333","33.333333333333","53.333333333333","2020-04-22 16:17:00"
"PEREIRA","RISARALDA","8.51722410471","-76.0759945061","67","93","4","22","62","3","2","5","5.3763440860215","66.666666666667","3.2258064516129","2.1505376344086","4.3010752688172","23.655913978495","72.043010752688","2020-04-22 16:17:00"
"PITALITO","HUILA","10.813131477","-74.8414613702","3","3","0","0","2","1","0","1","33.333333333333","66.666666666667","33.333333333333","","","","100","2020-04-22 16:17:00"
"POLONUEVO","ATLANTICO","10.7777245089","-74.8542572499","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"PONEDERA","ATLANTICO","10.6417959278","-74.7539004396","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"POPAYAN","CAUCA","2.48250339062","-76.5740646841","5","15","1","9","4","1","0","1","6.6666666666667","26.666666666667","6.6666666666667","","6.6666666666667","60","33.333333333333","2020-04-22 16:17:00"
"PUERTO COLOMBIA","ATLANTICO","11.0229400539","-74.851963565","4","4","0","0","4","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"PUERTO SANTANDER","NORTE DE SANTANDER","3.37059851251","-73.5146846138","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"PUERTO TEJADA","CAUCA","0.988590121237","-75.0660995429","2","2","0","0","0","2","0","2","100","","100","","","","100","2020-04-22 16:17:00"
"QUIBDO","CHOCO","5.69219518726","-76.6259693555","9","9","0","0","9","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"RESTREPO","META","4.26073199369","-73.5646041828","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"RETIRO","ANTIOQUIA","6.06337995392","-75.5013751615","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"RIOHACHA","LA GUAJIRA","11.5287513839","-72.911488911","0","2","1","1","0","0","0","","","","","","50","50","","2020-04-22 16:17:00"
"RIONEGRO","ANTIOQUIA","6.14722409002","-75.3767693823","2","10","0","8","2","0","0","","","20","","","","80","20","2020-04-22 16:17:00"
"SABANETA","ANTIOQUIA","6.15097018093","-75.6155852932","2","9","0","7","2","0","0","","","22.222222222222","","","","77.777777777778","22.222222222222","2020-04-22 16:17:00"
"SAHAGUN","CORDOBA","8.94312541611","-75.4459203022","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"SAN AGUSTIN","HUILA","8.167921639","-74.661049672","2","2","0","0","1","1","0","1","50","50","50","","","","100","2020-04-22 16:17:00"
"SAN ANDRES","ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA","6.39872921828","-75.440016949","5","6","0","1","5","0","0","","","83.333333333333","","","","16.666666666667","83.333333333333","2020-04-22 16:17:00"
"SAN ANDRES DE TUMACO","NARIÑO","1.80711725006","-78.7638541478","5","7","1","1","5","0","0","","","71.428571428571","","","14.285714285714","14.285714285714","71.428571428571","2020-04-22 16:17:00"
"SAN CRISTOBAL","BOLIVAR","10.3928557722","-75.0655341715","1","1","0","0","0","0","1","1","100","","","100","","","100","2020-04-22 16:17:00"
"SAN DIEGO","CESAR","5.66527168584","-74.9332394378","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"SAN FRANCISCO","ANTIOQUIA","5.96407913115","-75.1026869656","1","1","0","0","0","0","1","1","100","","","100","","","100","2020-04-22 16:17:00"
"SAN JOSE DE ISNOS","HUILA","1.92946706016","-76.2176374469","0","1","1","0","0","0","0","","","","","","100","","","2020-04-22 16:17:00"
"SAN JUAN DE RIOSECO","CUNDINAMARCA","4.84757599913","-74.6219147166","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"SAN MARTIN","CESAR","6.53433012953","-76.8447910108","1","1","0","0","0","0","1","1","100","","","100","","","100","2020-04-22 16:17:00"
"SAN PEDRO","VALLE DEL CAUCA","5.25045488109","-75.7942693728","2","3","0","1","2","0","0","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-22 16:17:00"
"SAN PEDRO DE URABA","ANTIOQUIA","8.27688666409","-76.380577886","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"SANTA FE DE ANTIOQUIA","ANTIOQUIA","6.55653329637","-75.827079071","1","1","0","0","0","1","0","1","100","","100","","","","100","2020-04-22 16:17:00"
"SANTA MARTA","SANTA MARTA D.T. Y C.","8.11321398354","-75.9133161358","81","99","9","9","67","10","4","14","14.141414141414","67.676767676768","10.10101010101","4.040404040404","9.0909090909091","9.0909090909091","81.818181818182","2020-04-22 16:17:00"
"SANTA ROSA DE CABAL","RISARALDA","4.86752645418","-75.6200106565","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"SANTA ROSA DE OSOS","ANTIOQUIA","6.64332600099","-75.4607450191","0","2","0","2","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"SANTA SOFIA","BOYACA","5.71326942075","-73.6027071719","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"SANTANA","BOYACA","5.77866547593","-72.945544503","2","4","0","2","2","0","0","","","50","","","","50","50","2020-04-22 16:17:00"
"SANTANDER DE QUILICHAO","CAUCA","3.01605390077","-76.4853702902","0","1","1","0","0","0","0","","","","","","100","","","2020-04-22 16:17:00"
"SANTO TOMAS","ATLANTICO","10.756056293","-74.7541118585","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"SIBATE","CUNDINAMARCA","4.48976359282","-74.2589922464","1","1","0","0","0","0","1","1","100","","","100","","","100","2020-04-22 16:17:00"
"SINCELEJO","SUCRE","9.30233310439","-75.3954835627","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"SOACHA","CUNDINAMARCA","4.58549165821","-74.2145275305","29","41","2","10","23","6","0","6","14.634146341463","56.09756097561","14.634146341463","","4.8780487804878","24.390243902439","70.731707317073","2020-04-22 16:17:00"
"SOCHA","BOYACA","5.99671302142","-72.6919658568","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"SOGAMOSO","BOYACA","5.72568939005","-72.9230476859","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"SOLEDAD","ATLANTICO","10.9101744673","-74.784833384","12","19","2","5","12","0","0","","","63.157894736842","","","10.526315789474","26.315789473684","63.157894736842","2020-04-22 16:17:00"
"SONSON","ANTIOQUIA","5.71481164114","-75.3093951469","2","2","0","0","0","2","0","2","100","","100","","","","100","2020-04-22 16:17:00"
"SOPO","CUNDINAMARCA","4.90633080922","-73.9457748929","2","3","0","1","2","0","0","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-22 16:17:00"
"SUBACHOQUE","CUNDINAMARCA","4.92907928898","-74.1727084609","1","3","0","2","1","0","0","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-22 16:17:00"
"SUESCA","CUNDINAMARCA","5.10351683913","-73.7982897825","3","4","1","0","1","2","0","2","50","25","50","","25","","75","2020-04-22 16:17:00"
"TENJO","CUNDINAMARCA","4.87196053725","-74.1439562115","4","6","2","0","3","1","0","1","16.666666666667","50","16.666666666667","","33.333333333333","","66.666666666667","2020-04-22 16:17:00"
"TENZA","BOYACA","5.0770743509","-73.4205891075","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"TIERRALTA","CORDOBA","9.10500159924","-75.806480569","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"TIMANA","HUILA","1.9742244433","-75.932086996","0","1","1","0","0","0","0","","","","","","100","","","2020-04-22 16:17:00"
"TIMBIO","CAUCA","2.34997642507","-76.6842387889","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"TOCANCIPA","CUNDINAMARCA","4.96478635371","-73.9120912065","1","3","0","2","1","0","0","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-22 16:17:00"
"TOGÜI","BOYACA","5.93743822459","-73.5136550618","10","12","0","2","10","0","0","","","83.333333333333","","","","16.666666666667","83.333333333333","2020-04-22 16:17:00"
"TRUJILLO","VALLE DEL CAUCA","1.78795153983","-78.6122376428","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"TULUA","VALLE DEL CAUCA","4.08526123852","-76.1976996795","10","13","0","3","9","1","0","1","7.6923076923077","69.230769230769","7.6923076923077","","","23.076923076923","76.923076923077","2020-04-22 16:17:00"
"TUNJA","BOYACA","5.53995323795","-73.3554887287","4","7","1","2","4","0","0","","","57.142857142857","","","14.285714285714","28.571428571429","57.142857142857","2020-04-22 16:17:00"
"TUQUERRES","NARIÑO","1.08519335919","-77.6168863825","1","1","0","0","0","1","0","1","100","","100","","","","100","2020-04-22 16:17:00"
"TURBACO","BOLIVAR","10.3327691633","-75.4244091655","5","8","1","2","5","0","0","","","62.5","","","12.5","25","62.5","2020-04-22 16:17:00"
"ULLOA","VALLE DEL CAUCA","4.70251391059","-75.7377474697","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"VALLEDUPAR","CESAR","10.4604812152","-73.259389309","15","33","1","17","14","0","1","1","3.030303030303","42.424242424242","","3.030303030303","3.030303030303","51.515151515152","45.454545454545","2020-04-22 16:17:00"
"VIJES","VALLE DEL CAUCA","3.69858792939","-76.4419652068","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
