"City_Municipality","Department","Latitude","longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Hospitalization_Rate","Mortality_Rate","Last_Update"
"MONTENEGRO","QUINDÍO","4.5629597433","-75.7518122369","2","3","1","0","2","0","0","","","33.333333333333","2020-04-09 16:01:00"
"MONTERIA","CÓRDOBA","8.7451325909","-75.8755779091","3","4","1","0","0","3","0","3","75","25","2020-04-09 16:01:00"
"MOSQUERA","CUNDINAMARCA","4.71137120122","-74.2317750849","3","3","0","0","0","0","1","1","33.333333333333","","2020-04-09 16:01:00"
"NEIVA","HUILA","8.55014492944","-75.5402712159","34","36","2","0","26","0","2","2","5.5555555555556","5.5555555555556","2020-04-09 16:01:00"
"OCAÑA","NORTE DE SANTANDER","8.246111","-73.355278","0","1","1","0","0","0","0","","","100","2020-04-09 16:01:00"
"OICATA","BOYACÁ","5.59523423857","-73.3084039802","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"PACHO","CUNDINAMARCA","5.13694229685","-74.1561166248","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"PALERMO","HUILA","5.73280146532","-75.6953709211","3","3","0","0","3","0","0","","","","2020-04-09 16:01:00"
"PALMIRA","VALLE DEL CAUCA","8.54978573123","-75.4510664684","28","28","0","0","23","0","1","1","3.5714285714286","","2020-04-09 16:01:00"
"PASTO","NARIÑO","1.21212436525","-77.2785763476","10","11","1","0","6","3","1","4","36.363636363636","9.0909090909091","2020-04-09 16:01:00"
"PEREIRA","RISARALDA","8.51722410471","-76.0759945061","35","36","1","0","28","3","1","4","11.111111111111","2.7777777777778","2020-04-09 16:01:00"
"PIEDECUESTA","SANTANDER","6.99747580407","-73.054660853","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"POLONUEVO","ATLÁNTICO","10.7777245089","-74.8542572499","1","1","0","0","0","0","0","","","","2020-04-09 16:01:00"
"PONEDERA","ATLÁNTICO","10.6417959278","-74.7539004396","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
