"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mortality_Rate","Recovery_Rates","Last_Update"
"LETICIA","AMAZONAS","10.1820963025","-75.5118252981","4","4","0","0","4","0","0","","","","","2020-04-19 16:36:00"
"LORICA","CORDOBA","9.24085514265","-75.8159953999","0","1","0","1","0","0","0","","","","100","2020-04-19 16:36:00"
"MADRID","CUNDINAMARCA","9.19385244104","-74.7496541106","4","6","0","2","4","0","0","","","","33.333333333333","2020-04-19 16:36:00"
"MALAMBO","ATLANTICO","10.8562872414","-74.7742405717","2","2","0","0","2","0","0","","","","","2020-04-19 16:36:00"
"MANIZALES","CALDAS","7.8368375609","-75.4143614377","7","12","0","5","7","0","0","","","","41.666666666667","2020-04-19 16:36:00"
"MEDELLIN","ANTIOQUIA","5.6101097761033","-74.886816625","145","219","2","72","125","14","6","20","9.1324200913242","0.91324200913242","32.876712328767","2020-04-19 16:36:00"
"MELGAR","TOLIMA","4.20815489203","-74.6298504009","1","1","0","0","1","0","0","","","","","2020-04-19 16:36:00"
"MIRANDA","CAUCA","3.25309540523","-76.2288698651","4","5","1","0","3","1","0","1","20","20","","2020-04-19 16:36:00"
"MONTEBELLO","ANTIOQUIA","5.94632556697","-75.5235109116","3","3","0","0","3","0","0","","","","","2020-04-19 16:36:00"
"MONTENEGRO","QUINDIO","4.5629597433","-75.7518122369","2","3","1","0","2","0","0","","","33.333333333333","","2020-04-19 16:36:00"
"MONTERIA","CORDOBA","8.7451325909","-75.8755779091","13","15","1","1","13","0","0","","","6.6666666666667","6.6666666666667","2020-04-19 16:36:00"
"MOSQUERA","CUNDINAMARCA","4.71137120122","-74.2317750849","3","5","0","2","2","0","1","1","20","","40","2020-04-19 16:36:00"
"NEIVA","HUILA","8.55014492944","-75.5402712159","34","62","3","25","28","5","1","6","9.6774193548387","4.8387096774194","40.322580645161","2020-04-19 16:36:00"
"OCAÑA","NORTE DE SANTANDER","8.246111","-73.355278","0","1","1","0","0","0","0","","","100","","2020-04-19 16:36:00"
"OICATA","BOYACA","5.59523423857","-73.3084039802","0","1","0","1","0","0","0","","","","100","2020-04-19 16:36:00"
"PACHO","CUNDINAMARCA","5.13694229685","-74.1561166248","11","11","0","0","9","2","0","2","18.181818181818","","","2020-04-19 16:36:00"
"PAICOL","HUILA","2.44954894922","-75.7729923197","1","1","0","0","1","0","0","","","","","2020-04-19 16:36:00"
"PALERMO","HUILA","5.73280146532","-75.6953709211","1","3","0","2","1","0","0","","","","66.666666666667","2020-04-19 16:36:00"
"PALMIRA","VALLE DEL CAUCA","8.54978573123","-75.4510664684","28","43","3","12","25","1","2","3","6.9767441860465","6.9767441860465","27.906976744186","2020-04-19 16:36:00"
"PASTO","NARIÑO","1.21212436525","-77.2785763476","10","15","2","3","5","4","1","5","33.333333333333","13.333333333333","20","2020-04-19 16:36:00"
