"DIVIPOLA","City_Municipality","ID_Deparment","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"19807","Timbio","19","Cauca","2.349976425","-76.68423879","2","3","0","1","2","0","0","0","5","0.000","0.000","66.667","0.000","0.000","0.000","0.000","33.333","66.667","2020-05-16 16:53:00"
"19824","Totoro","19","Cauca","2.510229193","-76.40244251","1","1","0","0","1","0","0","0","4","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"19845","Villa rica","19","Cauca","3.177577926","-76.45787266","0","1","1","0","0","0","0","0","1","0.000","0.000","0.000","0.000","0.000","100.000","4.689","0.000","0.000","2020-05-16 16:53:00"
"20001","Valledupar","20","Cesar","10.46048122","-73.25938931","7","55","6","42","7","0","0","0","1264","0.000","0.000","12.727","0.000","0.000","10.909","1.126","76.364","12.727","2020-05-16 16:53:00"
"20011","Aguachica","20","Cesar","8.310336958","-73.59902859","0","2","1","1","0","0","0","0","185","0.000","0.000","0.000","0.000","0.000","50.000","0.843","50.000","0.000","2020-05-16 16:53:00"
"20013","Agustin Codazzi","20","Cesar","10.04045799","-73.23839617","2","6","0","4","2","0","0","0","59","0.000","0.000","33.333","0.000","0.000","0.000","0.000","66.667","33.333","2020-05-16 16:53:00"
"20060","Bosconia","20","Cesar","9.9750947","-73.88876766","1","2","0","1","1","0","0","0","95","0.000","0.000","50.000","0.000","0.000","0.000","0.000","50.000","50.000","2020-05-16 16:53:00"
"20178","Chiriguana","20","Cesar","9.361189611","-73.60014444","0","1","0","1","0","0","0","0","37","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","2020-05-16 16:53:00"
"20400","La Jagua de Ibirico","20","Cesar","9.5638873","-73.33422791","0","1","0","1","0","0","0","0","32","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","2020-05-16 16:53:00"
"20614","Rio de Oro","20","Cesar","8.292287384","-73.3863952","0","2","2","0","0","0","0","0","4","0.000","0.000","0.000","0.000","0.000","100.000","11.240","0.000","0.000","2020-05-16 16:53:00"
"20621","La Paz","20","Cesar","10.38748954","-73.17136291","0","1","0","1","0","0","0","0","2","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","2020-05-16 16:53:00"
"20750","San Diego","20","Cesar","10.33303286","-73.18121808","1","3","0","2","1","0","0","0","5","0.000","0.000","33.333","0.000","0.000","0.000","0.000","66.667","33.333","2020-05-16 16:53:00"
"20770","San Martin","20","Cesar","7.999895459","-73.51097518","0","2","2","0","0","0","0","0","6","0.000","0.000","0.000","0.000","0.000","100.000","6.952","0.000","0.000","2020-05-16 16:53:00"
"23001","Monteria","23","Cordoba","8.745132591","-75.87557791","29","40","1","10","25","3","1","4","1144","0.350","10.000","62.500","7.500","2.500","2.500","0.198","25.000","72.500","2020-05-16 16:53:00"
"23090","Canalete","23","Cordoba","8.786944523","-76.24139652","3","3","0","0","3","0","0","0","3","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"23162","Cerete","23","Cordoba","8.888611812","-75.79621652","2","3","0","1","2","0","0","0","55","0.000","0.000","66.667","0.000","0.000","0.000","0.000","33.333","66.667","2020-05-16 16:53:00"
"23189","Cienaga de Oro","23","Cordoba","8.875502246","-75.62078664","0","1","1","0","0","0","0","0","6","0.000","0.000","0.000","0.000","0.000","100.000","1.652","0.000","0.000","2020-05-16 16:53:00"
"23417","Lorica","23","Cordoba","9.240855143","-75.8159954","5","7","1","1","5","0","0","0","133","0.000","0.000","71.429","0.000","0.000","14.286","0.866","14.286","71.429","2020-05-16 16:53:00"
"23466","Montelibano","23","Cordoba","7.973777244","-75.41681813","1","1","0","0","1","0","0","0","35","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
