"DIVIPOLA","City_Municipality","ID_Deparment","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"52320","Guaitarilla","52","Narino","1.129632504","-77.54968882","18","21","1","2","17","0","0","0","3","0.000","0.000","0.810","0.000","0.000","0.048","8.8300221","0.095","0.857","539","11325","2020-06-25 16:44:00"
"52354","Imues","52","Narino","1.055137709","-77.49617816","1","2","0","1","1","0","0","0","0","","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","3723","","2020-06-25 16:44:00"
"52356","Ipiales","52","Narino","0.827734241","-77.64640075","109","283","8","166","86","21","2","23","105","0.219","0.081","0.304","0.074","0.007","0.028","6.9063158","0.587","0.385","409","14480","2020-06-25 16:44:00"
"52378","La Cruz","52","Narino","1.601339314","-76.97053174","2","3","0","1","2","0","0","0","7","0.000","0.000","0.667","0.000","0.000","0.000","0.0000000","0.333","0.667","6214","","2020-06-25 16:44:00"
"52381","La Florida","52","Narino","1.299192232","-77.40643084","4","7","1","2","4","0","0","0","0","","0.000","0.571","0.000","0.000","0.143","10.0897992","0.286","0.571","1416","9911","2020-06-25 16:44:00"
"52385","La Llanada","52","Narino","1.472636197","-77.58071165","3","7","2","2","3","0","0","0","0","","0.000","0.429","0.000","0.000","0.286","30.9119011","0.286","0.429","924","3235","2020-06-25 16:44:00"
"52390","La Tola","52","Narino","2.398212191","-78.19039205","7","42","0","35","7","0","0","0","1","0.000","0.000","0.167","0.000","0.000","0.000","0.0000000","0.833","0.167","178","","2020-06-25 16:44:00"
"52399","La Union","52","Narino","1.600268613","-77.13115435","2","5","0","3","1","1","0","1","22","0.045","0.200","0.200","0.200","0.000","0.000","0.0000000","0.600","0.400","6350","","2020-06-25 16:44:00"
"52411","Linares","52","Narino","1.351145073","-77.52193996","1","1","0","0","0","0","0","0","1","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","0.000","1.000","10012","","2020-06-25 16:44:00"
"52427","Magui","52","Narino","1.765313671","-78.18106078","17","19","2","0","15","2","0","2","0","","0.105","0.789","0.105","0.000","0.105","7.8299338","0.000","0.895","1344","12772","2020-06-25 16:44:00"
"52435","Mallama","52","Narino","1.14083897","-77.86442829","5","32","1","26","4","1","0","1","1","1.000","0.031","0.125","0.031","0.000","0.031","11.1781802","0.813","0.156","280","8946","2020-06-25 16:44:00"
"52473","Mosquera","52","Narino","2.507116414","-78.45298541","5","54","3","46","4","1","0","1","0","","0.019","0.074","0.019","0.000","0.056","23.8435861","0.852","0.093","233","4194","2020-06-25 16:44:00"
"52480","Narino","52","Narino","1.288978992","-77.35797213","11","12","0","1","9","1","1","2","1","2.000","0.167","0.750","0.083","0.083","0.000","0.0000000","0.083","0.917","362","","2020-06-25 16:44:00"
"52490","Olaya Herrera","52","Narino","2.347584488","-78.32561871","45","62","2","15","38","6","1","7","0","","0.113","0.613","0.097","0.016","0.032","7.9333598","0.242","0.726","407","12605","2020-06-25 16:44:00"
"52520","Francisco Pizarro","52","Narino","2.040809056","-78.65818187","24","29","0","5","22","2","0","2","0","","0.069","0.759","0.069","0.000","0.000","0.0000000","0.172","0.828","488","","2020-06-25 16:44:00"
"52560","Potosi","52","Narino","0.806340417","-77.57279178","2","11","1","8","0","1","0","1","0","","0.091","0.000","0.091","0.000","0.091","9.9423345","0.727","0.182","914","10058","2020-06-25 16:44:00"
