"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Capacity","Hospital_Capacity_Rate","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Medellín","Antioquia","5.6101097761033","-74.886816625","204","301","3","94","192","4","8","12","5715","0.20997375328084","3.9867109634551","63.787375415282","1.328903654485","2.6578073089701","0.99667774086379","31.229235880399","67.774086378738","2020-04-28 17:13:00"
"Melgar","Tolima","4.20815489203","-74.6298504009","2","2","0","0","1","0","1","1","9","11.111111111111","50","50","","50","","","100","2020-04-28 17:13:00"
"Miranda","Cauca","3.25309540523","-76.2288698651","5","6","1","0","4","1","0","1","7","14.285714285714","16.666666666667","66.666666666667","16.666666666667","","16.666666666667","","83.333333333333","2020-04-28 17:13:00"
"Montebello","Antioquia","5.94632556697","-75.5235109116","3","3","0","0","3","0","0","","4","","","100","","","","","100","2020-04-28 17:13:00"
"Montenegro","Quindio","4.5629597433","-75.7518122369","0","3","1","2","0","0","0","","15","","","","","","33.333333333333","66.666666666667","","2020-04-28 17:13:00"
"Montería","Córdoba","8.7451325909","-75.8755779091","12","17","1","4","12","0","0","","2289","","","70.588235294118","","","5.8823529411765","23.529411764706","70.588235294118","2020-04-28 17:13:00"
"Mosquera","Cundinamarca","4.71137120122","-74.2317750849","9","11","0","2","8","0","1","1","17","5.8823529411765","9.0909090909091","72.727272727273","","9.0909090909091","","18.181818181818","81.818181818182","2020-04-28 17:13:00"
"Neiva","Huila","8.55014492944","-75.5402712159","47","80","4","29","42","3","2","5","1133","0.44130626654898","6.25","52.5","3.75","2.5","5","36.25","58.75","2020-04-28 17:13:00"
"Ocaña","Norte de Santander","8.246111","-73.355278","1","2","1","0","1","0","0","","299","","","50","","","50","","50","2020-04-28 17:13:00"
"Oicatá","Boyacá","5.59523423857","-73.3084039802","0","1","0","1","0","0","0","","45","","","","","","","100","","2020-04-28 17:13:00"
"Pacho","Cundinamarca","5.13694229685","-74.1561166248","10","11","0","1","8","2","0","2","66","3.030303030303","18.181818181818","72.727272727273","18.181818181818","","","9.0909090909091","90.909090909091","2020-04-28 17:13:00"
"Paicol","Huila","2.44954894922","-75.7729923197","2","2","0","0","2","0","0","","4","","","100","","","","","100","2020-04-28 17:13:00"
