"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Miranda","Cauca","3.25309540523","-76.2288698651","5","6","1","0","4","1","0","1","16.666666666667","66.666666666667","16.666666666667","","16.666666666667","","83.333333333333","2020-04-24 10:18:00"
"Montebello","Antioquia","5.94632556697","-75.5235109116","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Montenegro","Quindio","4.5629597433","-75.7518122369","2","3","1","0","2","0","0","","","66.666666666667","","","33.333333333333","","66.666666666667","2020-04-24 10:18:00"
"Montería","Córdoba","8.7451325909","-75.8755779091","14","16","1","1","14","0","0","","","87.5","","","6.25","6.25","87.5","2020-04-24 10:18:00"
"Mosquera","Cundinamarca","4.71137120122","-74.2317750849","6","8","0","2","5","0","1","1","12.5","62.5","","12.5","","25","75","2020-04-24 10:18:00"
"Neiva","Huila","8.55014492944","-75.5402712159","38","64","3","23","31","4","3","7","10.9375","48.4375","6.25","4.6875","4.6875","35.9375","59.375","2020-04-24 10:18:00"
"Ocaña","Norte de Santander","8.246111","-73.355278","0","1","1","0","0","0","0","","","","","","100","","","2020-04-24 10:18:00"
"Oicatá","Boyacá","5.59523423857","-73.3084039802","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Pacho","Cundinamarca","5.13694229685","-74.1561166248","11","11","0","0","8","3","0","3","27.272727272727","72.727272727273","27.272727272727","","","","100","2020-04-24 10:18:00"
"Paicol","Huila","2.44954894922","-75.7729923197","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Palermo","Huila","5.73280146532","-75.6953709211","0","3","0","3","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Palmira","Valle del Cauca","8.54978573123","-75.4510664684","28","47","4","15","27","0","1","1","2.1276595744681","57.446808510638","","2.1276595744681","8.5106382978723","31.914893617021","59.574468085106","2020-04-24 10:18:00"
"Pasto","Nariño","1.21212436525","-77.2785763476","11","18","2","5","10","0","1","1","5.5555555555556","55.555555555556","","5.5555555555556","11.111111111111","27.777777777778","61.111111111111","2020-04-24 10:18:00"
"Pereira","Risaralda","8.51722410471","-76.0759945061","72","99","4","23","70","1","1","2","2.020202020202","70.707070707071","1.010101010101","1.010101010101","4.040404040404","23.232323232323","72.727272727273","2020-04-24 10:18:00"
"Piedecuesta","Santander","6.04999176281","-75.693460235","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Pitalito","Huila","10.813131477","-74.8414613702","3","3","0","0","2","1","0","1","33.333333333333","66.666666666667","33.333333333333","","","","100","2020-04-24 10:18:00"
"Polonuevo","Atlántico","10.7777245089","-74.8542572499","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Ponedera","Atlántico","10.6417959278","-74.7539004396","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Popayán","Cauca","2.48250339062","-76.5740646841","5","15","1","9","4","1","0","1","6.6666666666667","26.666666666667","6.6666666666667","","6.6666666666667","60","33.333333333333","2020-04-24 10:18:00"
"Puerto Colombia","Atlántico","11.0229400539","-74.851963565","4","4","0","0","4","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Puerto Santander","Norte de Santander","3.37059851251","-73.5146846138","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Puerto Tejada","Cauca","0.988590121237","-75.0660995429","2","2","0","0","0","2","0","2","100","","100","","","","100","2020-04-24 10:18:00"
"Quibdó","Chocó","5.69219518726","-76.6259693555","10","10","0","0","9","1","0","1","10","90","10","","","","100","2020-04-24 10:18:00"
"Restrepo","Meta","4.26073199369","-73.5646041828","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-24 10:18:00"
