"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Acevedo","Huila","1.80526322752","-75.8885315631","0","1","0","1","0","0","0","","5","","","","","","","100","","2020-05-03 16:46:00"
"Agrado","Huila","2.2597293939","-75.771903578","1","1","0","0","1","0","0","","2","","","100","","","","","100","2020-05-03 16:46:00"
"Aipe","Huila","3.22359756208","-75.2390311845","1","1","0","0","1","0","0","","4","","","100","","","","","100","2020-05-03 16:46:00"
"Algeciras","Huila","2.52244759678","-75.3153728821","1","1","0","0","0","1","0","1","3","33.333333333333","100","","100","","","","100","2020-05-03 16:46:00"
"Garzón","Huila","2.19699442096","-75.6276937365","1","1","0","0","1","0","0","","66","","","100","","","","","100","2020-05-03 16:46:00"
"Gigante","Huila","2.38823562547","-75.5412198856","7","8","0","1","6","1","0","1","4","25","12.5","75","12.5","","","12.5","87.5","2020-05-03 16:46:00"
"Isnos","Huila","1.92946706016","-76.2176374469","0","1","1","0","0","0","0","","3","","","","","","100","","","2020-05-03 16:46:00"
"La Plata","Huila","2.38964669414","-75.8914513146","2","2","0","0","1","1","0","1","26","3.8461538461538","50","50","50","","","","100","2020-05-03 16:46:00"
"Neiva","Huila","2.93560441491","-75.2777225856","53","95","5","37","47","4","2","6","566","1.0600706713781","6.3157894736842","49.473684210526","4.2105263157895","2.1052631578947","5.2631578947368","38.947368421053","55.789473684211","2020-05-03 16:46:00"
"Paicol","Huila","2.44954894922","-75.7729923197","1","2","0","1","1","0","0","","2","","","50","","","","50","50","2020-05-03 16:46:00"
"Palermo","Huila","2.88840623576","-75.4337191172","2","5","0","3","0","1","1","2","4","50","40","","20","20","","60","40","2020-05-03 16:46:00"
"Pitalito","Huila","1.85257835541","-76.0487449016","7","9","1","1","4","3","0","3","81","3.7037037037037","33.333333333333","44.444444444444","33.333333333333","","11.111111111111","11.111111111111","77.777777777778","2020-05-03 16:46:00"
"San Agustín","Huila","1.88108129836","-76.2703596812","2","2","0","0","2","0","0","","7","","","100","","","","","100","2020-05-03 16:46:00"
"Timaná","Huila","1.9742244433","-75.932086996","3","4","1","0","2","1","0","1","4","25","25","50","25","","25","","75","2020-05-03 16:46:00"
"Albania","La Guajira","11.1574886487","-72.5985216275","1","1","0","0","1","0","0","","2","","","100","","","","","100","2020-05-03 16:46:00"
"Distracción","La Guajira","10.8984725868","-72.8873926829","1","1","0","0","0","1","0","1","40","2.5","100","","100","","","","100","2020-05-03 16:46:00"
"Maicao","La Guajira","11.3783267846","-72.24190502","1","1","0","0","0","1","0","1","232","0.43103448275862","100","","100","","","","100","2020-05-03 16:46:00"
"Riohacha","La Guajira","11.5287513839","-72.911488911","4","6","1","1","4","0","0","","289","","","66.666666666667","","","16.666666666667","16.666666666667","66.666666666667","2020-05-03 16:46:00"
"San Juan del Cesar","La Guajira","10.7695786836","-73.0005932132","1","1","0","0","1","0","0","","136","","","100","","","","","100","2020-05-03 16:46:00"
"Ciénaga","Magdalena","11.0066568813","-74.2412861592","42","46","1","3","39","3","0","3","102","2.9411764705882","6.5217391304348","84.782608695652","6.5217391304348","","2.1739130434783","6.5217391304348","91.304347826087","2020-05-03 16:46:00"
"El Banco","Magdalena","9.00873300892","-73.9742812074","1","2","1","0","0","1","0","1","86","1.1627906976744","50","","50","","50","","50","2020-05-03 16:46:00"
"Fundación","Magdalena","10.5140924032","-74.1913434578","1","1","0","0","1","0","0","","117","","","100","","","","","100","2020-05-03 16:46:00"
"Puebloviejo","Magdalena","10.9948296498","-74.2824842344","5","7","2","0","4","1","0","1","5","20","14.285714285714","57.142857142857","14.285714285714","","28.571428571429","","71.428571428571","2020-05-03 16:46:00"
"Santa Marta","Magdalena","11.2294335041","-74.1908941206","134","175","14","27","118","15","1","16","984","1.6260162601626","9.1428571428571","67.428571428571","8.5714285714286","0.57142857142857","8","15.428571428571","76.571428571429","2020-05-03 16:46:00"
"Zona Bananera","Magdalena","10.764167","-74.157222","4","5","1","0","3","1","0","1","7","14.285714285714","20","60","20","","20","","80","2020-05-03 16:46:00"
"Acacías","Meta","3.99012066334","-73.765936654","10","11","0","1","10","0","0","","11","","","90.909090909091","","","","9.0909090909091","90.909090909091","2020-05-03 16:46:00"
"Restrepo","Meta","4.26073199369","-73.5646041828","3","3","0","0","3","0","0","","6","","","100","","","","","100","2020-05-03 16:46:00"
"San Juan de Arama","Meta","3.37372787444","-73.875831539","3","3","0","0","3","0","0","","5","","","100","","","","","100","2020-05-03 16:46:00"
"Villavicencio","Meta","4.12386149961","-73.6270920374","516","544","6","22","513","3","0","3","790","0.37974683544304","0.55147058823529","94.301470588235","0.55147058823529","","1.1029411764706","4.0441176470588","94.852941176471","2020-05-03 16:46:00"
"Ancuyá","Nariño","1.26329997691","-77.5145132877","1","1","0","0","1","0","0","","0","","","100","","","","","100","2020-05-03 16:46:00"
"Belén","Nariño","1.5956760655","-77.0156657294","1","1","0","0","1","0","0","","0","","","100","","","","","100","2020-05-03 16:46:00"
"Contadero","Nariño","0.91045786274","-77.5494090245","0","1","0","1","0","0","0","","0","","","","","","","100","","2020-05-03 16:46:00"
