"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Capacity","Hospital_Capacity_Rate","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Chinchiná","Caldas","4.98581286197","-75.6074807289","1","4","0","3","1","0","0","","77","","","25","","","","75","25","2020-04-26 16:35:00"
"Choachí","Cundinamarca","4.52704792092","-73.9228944808","0","1","0","1","0","0","0","","0","","","","","","","100","","2020-04-26 16:35:00"
"Ciénaga","Magdalena","11.0066568813","-74.2412861592","22","23","0","1","21","1","0","1","204","0.49019607843137","4.3478260869565","91.304347826087","4.3478260869565","","","4.3478260869565","95.652173913043","2020-04-26 16:35:00"
"Ciénaga de Oro","Córdoba","8.87550224563","-75.6207866383","0","1","1","0","0","0","0","","12","","","","","","100","","","2020-04-26 16:35:00"
"Cimitarra","Santander","6.32068186747","-73.9525821232","0","2","0","2","0","0","0","","21","","","","","","","100","","2020-04-26 16:35:00"
"Circasia","Quindio","4.61779204337","-75.636528232","2","3","0","1","2","0","0","","13","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-26 16:35:00"
"Cocorná","Antioquia","6.05830633507","-75.185481011","1","1","0","0","1","0","0","","5","","","100","","","","","100","2020-04-26 16:35:00"
"Cogua","Cundinamarca","5.06184179776","-73.9784966905","1","1","0","0","0","1","0","1","0","","100","","100","","","","100","2020-04-26 16:35:00"
"Concepción","Santander","6.39434709534","-75.2576027037","0","1","0","1","0","0","0","","3","","","","","","","100","","2020-04-26 16:35:00"
"Contadero","Nariño","0.91045786274","-77.5494090245","0","1","0","1","0","0","0","","1","","","","","","","100","","2020-04-26 16:35:00"
"Copacabana","Antioquia","6.34864054523","-75.5093439031","6","7","0","1","6","0","0","","12","","","85.714285714286","","","","14.285714285714","85.714285714286","2020-04-26 16:35:00"
"Cota","Cundinamarca","4.81298776927","-74.1027264632","3","9","0","6","3","0","0","","0","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-26 16:35:00"
"Cuaspúd","Nariño","0.862978103157","-77.728946826","1","1","0","0","1","0","0","","0","","","100","","","","","100","2020-04-26 16:35:00"
"Cúcuta","Norte de Santander","7.90530629465","-72.5082561962","32","56","3","21","29","1","2","3","1505","0.19933554817276","5.3571428571429","51.785714285714","1.7857142857143","3.5714285714286","5.3571428571429","37.5","57.142857142857","2020-04-26 16:35:00"
"Cumbal","Nariño","0.906185360866","-77.7922766205","2","3","0","1","2","0","0","","10","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-26 16:35:00"
"Cumbitara","Nariño","1.64684597096","-77.5781467265","0","1","0","1","0","0","0","","0","","","","","","","100","","2020-04-26 16:35:00"
"Curití","Santander","6.6735257713","-75.7988581159","0","1","1","0","0","0","0","","10","","","","","","100","","","2020-04-26 16:35:00"
"Donmatías","Antioquia","6.485833","-75.395278","0","1","0","1","0","0","0","","6","","","","","","","100","","2020-04-26 16:35:00"
"Dosquebradas","Risaralda","4.82718783235","-75.6824691212","0","1","0","1","0","0","0","","68","","","","","","","100","","2020-04-26 16:35:00"
"El Banco","Magdalena","9.05756833011","-75.5728891535","42","55","1","12","41","0","1","1","173","0.57803468208092","1.8181818181818","74.545454545455","","1.8181818181818","1.8181818181818","21.818181818182","76.363636363636","2020-04-26 16:35:00"
"El Cerrito","Valle del Cauca","10.7668670891","-75.2027580712","0","1","1","0","0","0","0","","18","","","","","","100","","","2020-04-26 16:35:00"
"El Dovio","Valle del Cauca","4.51045288499","-76.2370841098","11","12","1","0","11","0","0","","7","","","91.666666666667","","","8.3333333333333","","91.666666666667","2020-04-26 16:35:00"
"El Santuario","Antioquia","6.13704685813","-75.2658497944","0","4","1","3","0","0","0","","6","","","","","","25","75","","2020-04-26 16:35:00"
"El Tambo","Cauca","6.0145884441","-75.4363274758","1","1","0","0","1","0","0","","11","","","100","","","","","100","2020-04-26 16:35:00"
"Envigado","Antioquia","6.16700455162","-75.5830101409","1","1","0","0","1","0","0","","262","","","100","","","","","100","2020-04-26 16:35:00"
"Espinal","Tolima","4.15131422057","-74.8854497584","15","28","0","13","14","1","0","1","185","0.54054054054054","3.5714285714286","50","3.5714285714286","","","46.428571428571","53.571428571429","2020-04-26 16:35:00"
"Facatativá","Cundinamarca","4.81306417837","-74.3502279311","2","3","1","0","2","0","0","","343","","","66.666666666667","","","33.333333333333","","66.666666666667","2020-04-26 16:35:00"
"Filandia","Quindio","4.67414557186","-75.6586858841","5","5","0","0","4","1","0","1","122","0.81967213114754","20","80","20","","","","100","2020-04-26 16:35:00"
"Florencia","Caquetá","9.31366872153","-74.8915160804","1","1","0","0","1","0","0","","514","","","100","","","","","100","2020-04-26 16:35:00"
"Florida","Valle del Cauca","3.32391810634","-76.2345017444","1","2","1","0","1","0","0","","38","","","50","","","50","","50","2020-04-26 16:35:00"
"Floridablanca","Santander","7.07236040291","-73.0990326168","8","8","0","0","7","0","1","1","807","0.12391573729864","12.5","87.5","","12.5","","","100","2020-04-26 16:35:00"
"Frontino","Antioquia","6.77606591161","-76.1307651388","1","8","1","6","1","0","0","","10","","","12.5","","","12.5","75","12.5","2020-04-26 16:35:00"
"Fundación","Magdalena","10.5140924032","-74.1913434578","0","1","0","1","0","0","0","","234","","","","","","","100","","2020-04-26 16:35:00"
"Funza","Cundinamarca","4.7127630154","-74.2115250018","1","1","0","0","1","0","0","","20","","","100","","","","","100","2020-04-26 16:35:00"
"Fusagasugá","Cundinamarca","4.33848085051","-74.3663339328","10","11","0","1","10","0","0","","184","","","90.909090909091","","","","9.0909090909091","90.909090909091","2020-04-26 16:35:00"
"Galapa","Atlántico","10.9196410045","-74.8669380999","0","1","0","1","0","0","0","","11","","","","","","","100","","2020-04-26 16:35:00"
"Garagoa","Boyacá","5.08324346272","-73.3644275636","1","1","0","0","1","0","0","","30","","","100","","","","","100","2020-04-26 16:35:00"
"Garzón","Huila","2.19699442096","-75.6276937365","1","1","0","0","1","0","0","","133","","","100","","","","","100","2020-04-26 16:35:00"
"Gigante","Huila","2.38823562547","-75.5412198856","1","1","0","0","1","0","0","","8","","","100","","","","","100","2020-04-26 16:35:00"
"Ginebra","Valle del Cauca","3.72418114734","-76.2680678884","3","3","0","0","3","0","0","","9","","","100","","","","","100","2020-04-26 16:35:00"
"Granada","Antioquia","6.14289666655","-75.1844450829","0","1","1","0","0","0","0","","3","","","","","","100","","","2020-04-26 16:35:00"
"Guacarí","Valle del Cauca","3.76290900784","-76.3313673514","4","4","0","0","2","2","0","2","10","20","50","50","50","","","","100","2020-04-26 16:35:00"
"Guachené","Cauca","3.13415329544","-76.3921887379","2","2","0","0","2","0","0","","0","","","100","","","","","100","2020-04-26 16:35:00"
"Guadalajara de Buga","Valle del Cauca","3.90082354377","-76.2989611331","1","1","0","0","0","1","0","1","331","0.30211480362538","100","","100","","","","100","2020-04-26 16:35:00"
"Guaduas","Cundinamarca","5.0718705327","-74.6029562704","7","8","0","1","7","0","0","","20","","","87.5","","","","12.5","87.5","2020-04-26 16:35:00"
"Guarne","Antioquia","6.2780640767","-75.441653922","1","1","0","0","1","0","0","","8","","","100","","","","","100","2020-04-26 16:35:00"
"Guatapé","Antioquia","6.23259270739","-75.1622925892","1","3","0","2","1","0","0","","5","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-26 16:35:00"
"Ibagué","Tolima","4.43960899136","-75.1937147765","1","2","0","1","0","1","0","1","1174","0.085178875638842","50","","50","","","50","50","2020-04-26 16:35:00"
"Ipiales","Nariño","0.827734241442","-77.6464007453","20","37","1","16","19","0","1","1","206","0.48543689320388","2.7027027027027","51.351351351351","","2.7027027027027","2.7027027027027","43.243243243243","54.054054054054","2020-04-26 16:35:00"
"Isnos","Huila","1.92946706016","-76.2176374469","47","51","3","1","43","1","3","4","7","57.142857142857","7.843137254902","84.313725490196","1.9607843137255","5.8823529411765","5.8823529411765","1.9607843137255","92.156862745098","2020-04-26 16:35:00"
"Itagüí","Antioquia","6.16959762893","-75.6143587142","0","1","1","0","0","0","0","","337","","","","","","100","","","2020-04-26 16:35:00"
"Jamundí","Valle del Cauca","3.26227576022","-76.5424587285","11","16","0","5","9","1","1","2","129","1.5503875968992","12.5","56.25","6.25","6.25","","31.25","68.75","2020-04-26 16:35:00"
"La Calera","Cundinamarca","4.72034452148","-73.9697449587","6","11","1","4","6","0","0","","0","","","54.545454545455","","","9.0909090909091","36.363636363636","54.545454545455","2020-04-26 16:35:00"
"La Ceja","Antioquia","6.02805574408","-75.4294308862","0","1","0","1","0","0","0","","240","","","","","","","100","","2020-04-26 16:35:00"
"La Dorada","Caldas","8.34513300359","-74.4778605477","0","2","0","2","0","0","0","","122","","","","","","","100","","2020-04-26 16:35:00"
"La Estrella","Antioquia","6.15841974028","-75.6451903823","28","32","2","2","28","0","0","","6","","","87.5","","","6.25","6.25","87.5","2020-04-26 16:35:00"
"La Paz","Cesar","2.43235998842","-76.9602448248","7","9","0","2","7","0","0","","5","","","77.777777777778","","","","22.222222222222","77.777777777778","2020-04-26 16:35:00"
"La Tebaida","Quindio","6.00569607721","-75.0256207392","1","1","0","0","1","0","0","","16","","","100","","","","","100","2020-04-26 16:35:00"
"La Unión","Valle del Cauca","6.38243035338","-75.6212252215","0","1","0","1","0","0","0","","8","","","","","","","100","","2020-04-26 16:35:00"
"La Virginia","Risaralda","4.49036013291","-75.6425417206","0","2","0","2","0","0","0","","35","","","","","","","100","","2020-04-26 16:35:00"
"Leticia","Amazonas","10.1820963025","-75.5118252981","1","1","0","0","1","0","0","","141","","","100","","","","","100","2020-04-26 16:35:00"
"Lorica","Córdoba","9.24085514265","-75.8159953999","38","40","2","0","32","6","0","6","260","2.3076923076923","15","80","15","","5","","95","2020-04-26 16:35:00"
"Madrid","Cundinamarca","9.19385244104","-74.7496541106","0","2","1","1","0","0","0","","29","","","","","","50","50","","2020-04-26 16:35:00"
"Malambo","Atlántico","10.8562872414","-74.7742405717","4","8","0","4","4","0","0","","105","","","50","","","","50","50","2020-04-26 16:35:00"
